,game_number, player_won, player_just_moved, cell0, cell1, cell2, cell3, cell4, cell5, cell6, cell7, cell8, best_move
11,19,2,1,1,0,1,0,2,0,0,0,0,1
12,19,2,2,1,2,1,0,2,0,0,0,0,5
13,19,2,1,1,2,1,0,2,1,0,0,0,7
0,6,1,2,0,0,0,0,0,0,0,0,0,7
1,6,1,1,0,0,0,0,0,0,0,1,0,0
2,6,1,2,2,0,0,0,0,0,0,1,0,1
3,6,1,1,2,1,0,0,0,0,0,1,0,4
4,6,1,2,2,1,0,0,2,0,0,1,0,8
5,6,1,1,2,1,0,0,2,0,0,1,1,3
6,6,1,2,2,1,0,2,2,0,0,1,1,6
7,7,2,2,0,0,0,0,0,0,0,0,0,7
8,7,2,1,0,0,0,0,0,0,0,1,0,0
9,7,2,2,2,0,0,0,0,0,0,1,0,3
10,7,2,1,2,0,0,1,0,0,0,1,0,4
11,7,2,2,2,0,0,1,2,0,0,1,0,8
12,7,2,1,2,0,0,1,2,0,0,1,1,2
13,7,2,2,2,0,2,1,2,0,0,1,1,1
14,7,2,1,2,1,2,1,2,0,0,1,1,6
15,13,1,2,0,0,0,0,0,0,0,0,0,5
16,13,1,1,0,0,0,0,0,1,0,0,0,0
17,13,1,2,2,0,0,0,0,1,0,0,0,2
18,13,1,1,2,0,1,0,0,1,0,0,0,4
19,13,1,2,2,0,1,0,2,1,0,0,0,8
20,15,1,2,0,0,0,0,0,0,0,0,0,7
21,15,1,1,0,0,0,0,0,0,0,1,0,0
22,15,1,2,2,0,0,0,0,0,0,1,0,1
23,15,1,1,2,1,0,0,0,0,0,1,0,4
24,15,1,2,2,1,0,0,2,0,0,1,0,8
25,15,1,1,2,1,0,0,2,0,0,1,1,3
26,15,1,2,2,1,0,2,2,0,0,1,1,6
27,18,1,2,0,0,0,0,0,0,0,0,0,7
28,18,1,1,0,0,0,0,0,0,0,1,0,0
29,18,1,2,2,0,0,0,0,0,0,1,0,2
30,18,1,1,2,0,1,0,0,0,0,1,0,3
31,18,1,2,2,0,1,2,0,0,0,1,0,6
32,18,1,1,2,0,1,2,0,0,1,1,0,4
33,18,1,2,2,0,1,2,2,0,1,1,0,8
0,0,1,2,0,0,0,0,0,0,0,0,0,7
1,0,1,1,0,0,0,0,0,0,0,1,0,0
2,0,1,2,2,0,0,0,0,0,0,1,0,6
3,0,1,1,2,0,0,0,0,0,1,1,0,4
4,0,1,2,2,0,0,0,2,0,1,1,0,8
5,2,1,2,0,0,0,0,0,0,0,0,0,7
6,2,1,1,0,0,0,0,0,0,0,1,0,0
7,2,1,2,2,0,0,0,0,0,0,1,0,6
8,2,1,1,2,0,0,0,0,0,1,1,0,4
9,2,1,2,2,0,0,0,2,0,1,1,0,8
10,6,1,2,0,0,0,0,0,0,0,0,0,5
11,6,1,1,0,0,0,0,0,1,0,0,0,0
12,6,1,2,2,0,0,0,0,1,0,0,0,2
13,6,1,1,2,0,1,0,0,1,0,0,0,4
14,6,1,2,2,0,1,0,2,1,0,0,0,8
15,11,1,2,0,0,0,0,0,0,0,0,0,7
16,11,1,1,0,0,0,0,0,0,0,1,0,0
17,11,1,2,2,0,0,0,0,0,0,1,0,6
18,11,1,1,2,0,0,0,0,0,1,1,0,4
19,11,1,2,2,0,0,0,2,0,1,1,0,8
20,13,1,2,0,0,0,0,0,0,0,0,0,7
21,13,1,1,0,0,0,0,0,0,0,1,0,0
22,13,1,2,2,0,0,0,0,0,0,1,0,2
23,13,1,1,2,0,1,0,0,0,0,1,0,3
24,13,1,2,2,0,1,2,0,0,0,1,0,6
25,13,1,1,2,0,1,2,0,0,1,1,0,4
26,13,1,2,2,0,1,2,2,0,1,1,0,8
0,19,1,2,0,0,0,0,0,0,0,0,0,2
1,19,1,1,0,0,1,0,0,0,0,0,0,0
2,19,1,2,2,0,1,0,0,0,0,0,0,5
3,19,1,1,2,0,1,0,0,1,0,0,0,4
4,19,1,2,2,0,1,0,2,1,0,0,0,8
0,8,2,2,0,0,0,0,0,0,0,0,0,0
1,8,2,1,1,0,0,0,0,0,0,0,0,4
2,8,2,2,1,0,0,0,2,0,0,0,0,6
3,8,2,1,1,0,0,0,2,0,1,0,0,3
4,8,2,2,1,0,0,2,2,0,1,0,0,7
5,8,2,1,1,0,0,2,2,0,1,1,0,5
0,3,1,2,0,0,0,0,0,0,0,0,0,5
1,3,1,1,0,0,0,0,0,1,0,0,0,4
2,3,1,2,0,0,0,0,2,1,0,0,0,1
3,3,1,1,0,1,0,0,2,1,0,0,0,0
4,3,1,2,2,1,0,0,2,1,0,0,0,8
5,3,1,1,2,1,0,0,2,1,0,0,1,6
6,3,1,2,2,1,0,0,2,1,2,0,1,2
0,7,1,2,0,0,0,0,0,0,0,0,0,0
1,7,1,1,1,0,0,0,0,0,0,0,0,1
2,7,1,2,1,2,0,0,0,0,0,0,0,4
3,7,1,1,1,2,0,0,1,0,0,0,0,8
4,7,1,2,1,2,0,0,1,0,0,0,2,6
5,7,1,1,1,2,0,0,1,0,1,0,2,3
6,7,1,2,1,2,0,2,1,0,1,0,2,2
7,15,1,2,0,0,0,0,0,0,0,0,0,0
8,15,1,1,1,0,0,0,0,0,0,0,0,6
9,15,1,2,1,0,0,0,0,0,2,0,0,4
10,15,1,1,1,0,0,0,1,0,2,0,0,1
11,15,1,2,1,2,0,0,1,0,2,0,0,8
0,3,1,2,0,0,0,0,0,0,0,0,0,4
1,3,1,1,0,0,0,0,1,0,0,0,0,2
2,3,1,2,0,0,2,0,1,0,0,0,0,0
3,3,1,1,1,0,2,0,1,0,0,0,0,3
4,3,1,2,1,0,2,2,1,0,0,0,0,8
0,9,1,2,0,0,0,0,0,0,0,0,0,5
1,9,1,1,0,0,0,0,0,1,0,0,0,0
2,9,1,2,2,0,0,0,0,1,0,0,0,2
3,9,1,1,2,0,1,0,0,1,0,0,0,4
4,9,1,2,2,0,1,0,2,1,0,0,0,8
0,0,1,2,0,0,0,0,0,0,0,0,0,4
1,0,1,1,0,0,0,0,1,0,0,0,0,6
2,0,1,2,0,0,0,0,1,0,2,0,0,0
3,0,1,1,1,0,0,0,1,0,2,0,0,8
4,0,1,2,1,0,0,0,1,0,2,0,2,1
5,0,1,1,1,1,0,0,1,0,2,0,2,2
6,0,1,2,1,1,2,0,1,0,2,0,2,7
7,1,1,2,0,0,0,0,0,0,0,0,0,4
8,1,1,1,0,0,0,0,1,0,0,0,0,6
9,1,1,2,0,0,0,0,1,0,2,0,0,3
10,1,1,1,0,0,0,1,1,0,2,0,0,1
11,1,1,2,0,2,0,1,1,0,2,0,0,0
12,1,1,1,1,2,0,1,1,0,2,0,0,8
13,1,1,2,1,2,0,1,1,0,2,0,2,5
14,2,1,2,0,0,0,0,0,0,0,0,0,4
15,2,1,1,0,0,0,0,1,0,0,0,0,6
16,2,1,2,0,0,0,0,1,0,2,0,0,3
17,2,1,1,0,0,0,1,1,0,2,0,0,0
18,2,1,2,2,0,0,1,1,0,2,0,0,1
19,2,1,1,2,1,0,1,1,0,2,0,0,7
20,2,1,2,2,1,0,1,1,0,2,2,0,5
21,3,1,2,0,0,0,0,0,0,0,0,0,4
22,3,1,1,0,0,0,0,1,0,0,0,0,6
23,3,1,2,0,0,0,0,1,0,2,0,0,0
24,3,1,1,1,0,0,0,1,0,2,0,0,8
25,3,1,2,1,0,0,0,1,0,2,0,2,1
26,3,1,1,1,1,0,0,1,0,2,0,2,3
27,3,1,2,1,1,0,2,1,0,2,0,2,2
28,4,1,2,0,0,0,0,0,0,0,0,0,4
29,4,1,1,0,0,0,0,1,0,0,0,0,6
30,4,1,2,0,0,0,0,1,0,2,0,0,0
31,4,1,1,1,0,0,0,1,0,2,0,0,8
32,4,1,2,1,0,0,0,1,0,2,0,2,1
33,4,1,1,1,1,0,0,1,0,2,0,2,5
34,4,1,2,1,1,0,0,1,2,2,0,2,2
35,5,2,2,0,0,0,0,0,0,0,0,0,4
36,5,2,1,0,0,0,0,1,0,0,0,0,6
37,5,2,2,0,0,0,0,1,0,2,0,0,0
38,5,2,1,1,0,0,0,1,0,2,0,0,8
39,5,2,2,1,0,0,0,1,0,2,0,2,1
40,5,2,1,1,1,0,0,1,0,2,0,2,7
41,6,1,2,0,0,0,0,0,0,0,0,0,4
42,6,1,1,0,0,0,0,1,0,0,0,0,6
43,6,1,2,0,0,0,0,1,0,2,0,0,0
44,6,1,1,1,0,0,0,1,0,2,0,0,8
45,6,1,2,1,0,0,0,1,0,2,0,2,1
46,6,1,1,1,1,0,0,1,0,2,0,2,5
47,6,1,2,1,1,0,0,1,2,2,0,2,2
48,8,1,2,0,0,0,0,0,0,0,0,0,4
49,8,1,1,0,0,0,0,1,0,0,0,0,6
50,8,1,2,0,0,0,0,1,0,2,0,0,0
51,8,1,1,1,0,0,0,1,0,2,0,0,8
52,8,1,2,1,0,0,0,1,0,2,0,2,1
53,8,1,1,1,1,0,0,1,0,2,0,2,5
54,8,1,2,1,1,0,0,1,2,2,0,2,2
